Model,N_features,CV_RMSE,CV_MAE,CV_R2,Test_RMSE,Test_MAE,Test_R2
RandomForest,129,29463.0,22237.0,0.4062,24472.0,18642.0,0.4994
RandomForest,130,29450.0,22231.0,0.4067,24504.0,18674.0,0.498
RandomForest,131,29462.0,22234.0,0.4062,24478.0,18659.0,0.4991
RandomForest,132,29482.0,22253.0,0.4054,24496.0,18682.0,0.4984
RandomForest,133,29490.0,22257.0,0.4051,24500.0,18684.0,0.4982
RandomForest,134,29489.0,22253.0,0.4051,24494.0,18685.0,0.4984
RandomForest,135,29494.0,22254.0,0.4049,24506.0,18691.0,0.4979
RandomForest,136,29488.0,22246.0,0.4052,24506.0,18711.0,0.4979
RandomForest,137,29496.0,22250.0,0.4048,24516.0,18722.0,0.4975
RandomForest,138,29499.0,22251.0,0.4047,24526.0,18730.0,0.4971
RandomForest,139,29495.0,22249.0,0.4049,24516.0,18717.0,0.4975
RandomForest,140,29494.0,22249.0,0.4049,24513.0,18718.0,0.4977
LightGBM,5,32957.0,24770.0,0.256,29884.0,22879.0,0.2534
LightGBM,6,33592.0,25445.0,0.2281,30140.0,23328.0,0.2406
LightGBM,7,33059.0,25009.0,0.2531,29867.0,23031.0,0.2543
LightGBM,8,33805.0,25476.0,0.2189,30886.0,24186.0,0.2025
LightGBM,9,33582.0,25388.0,0.2292,29819.0,23456.0,0.2566
LightGBM,10,33441.0,25316.0,0.2359,29025.0,23002.0,0.2957
LightGBM,11,33535.0,25432.0,0.2316,29482.0,23301.0,0.2734
LightGBM,12,33527.0,25501.0,0.2319,29172.0,22948.0,0.2886
LightGBM,13,33679.0,25611.0,0.2249,29429.0,23105.0,0.276
LightGBM,14,33347.0,25523.0,0.2396,29227.0,22937.0,0.2859
LightGBM,15,33341.0,25650.0,0.2399,29007.0,22531.0,0.2966
LightGBM,16,32976.0,25293.0,0.2563,29343.0,23183.0,0.2802
LightGBM,17,33475.0,25675.0,0.2335,29402.0,23182.0,0.2773
LightGBM,18,33390.0,25607.0,0.2373,29439.0,23078.0,0.2755
LightGBM,19,33341.0,25400.0,0.2399,28819.0,22471.0,0.3057
LightGBM,20,33225.0,25266.0,0.2448,28888.0,22414.0,0.3024
LightGBM,21,33103.0,25161.0,0.2505,28708.0,22247.0,0.311
LightGBM,22,32762.0,25043.0,0.2659,28703.0,22136.0,0.3112
LightGBM,23,32594.0,24850.0,0.2728,29114.0,22621.0,0.2914
LightGBM,24,32776.0,25005.0,0.2646,28916.0,22478.0,0.301
LightGBM,25,32553.0,24779.0,0.2745,28640.0,22013.0,0.3142
LightGBM,26,31989.0,24463.0,0.2994,27047.0,20814.0,0.3884
LightGBM,27,32132.0,24551.0,0.2926,27304.0,20698.0,0.3768
LightGBM,28,31726.0,24340.0,0.3104,27141.0,20568.0,0.3842
LightGBM,29,31981.0,24599.0,0.2997,27149.0,20462.0,0.3838
LightGBM,30,32013.0,24555.0,0.298,26833.0,20255.0,0.3981
LightGBM,31,31413.0,24085.0,0.3243,26854.0,20189.0,0.3971
LightGBM,32,31370.0,24121.0,0.3263,26292.0,19931.0,0.4221
